Tiempo,Posición,Temperatura
1696446000,-7.515843117408907,32.975506410256415
1696449600,-7.509007849293564,32.97557692307692
1696453200,-7.491461305314205,32.970693069306925
1696456800,-7.493836633663366,32.94163366336633
1696460400,-7.49680693069307,32.91193069306931
1696464000,-7.491675742574258,32.91132590759076
1696467600,-7.514083333333333,32.9433137254902
1696471200,-7.518592342342343,32.95255113937467
1696474800,-7.527324324324324,32.932024024024024
1696478400,-7.519916666666666,32.92194444444444
1696482000,-7.516266666666667,32.90225
1696485600,-7.5220666666666665,32.89533333333333
1696489200,-7.523916666666667,32.89608333333334
1696492800,-7.51225,32.879333333333335
1696496400,-7.506666666666666,32.8695
1696500000,-7.509416666666667,32.869166666666665
1696503600,-7.508666666666667,32.88458333333333
1696507200,-7.509333333333333,32.87558333333333
1696510800,-7.516083333333333,32.8465
1696514400,-7.5142500000000005,32.80233333333334
1696518000,-7.509083333333334,32.84191666666667
1696521600,-7.507916666666666,32.83883333333333
1696525200,-7.508416666666666,32.81558333333333
1696528800,-7.52035,32.815083333333334
1696532400,-7.492222222222222,32.73166666666666
1696536000,-7.525427777777778,32.793875
1696539600,-7.529,32.7514375
1696543200,-7.51125,32.752520833333335
1696546800,-7.504166666666666,32.7245
1696550400,-7.508916666666667,32.73383333333333
1696554000,-7.512833333333333,32.717999999999996
1696557600,-7.513333333333334,32.712666666666664
1696561200,-7.508666666666667,32.70133333333333
1696564800,-7.503916666666667,32.693333333333335
1696568400,-7.5072777777777775,32.70961111111111
1696572000,-7.495322222222223,32.67442222222222
1696575600,-7.49715,32.69663333333333
1696579200,-7.503708333333333,32.67670833333333
1696582800,-7.507875,32.66781944444445
1696586400,-7.520678571428571,32.661722222222224
1696590000,-7.515988095238096,32.672
1696593600,-7.519416666666667,32.655499999999996
1696597200,-7.508708333333333,32.6375
1696600800,-7.495258333333334,32.63453333333333
1696604400,-7.507366666666667,32.61963333333333
1696608000,-7.51125,32.61966666666667
1696611600,-7.516611111111112,32.58982407407407
1696615200,-7.507524853801169,32.56017153996101
1696618800,-7.500780701754386,32.54275438596491
1696622400,-7.509783333333333,32.56966666666667
1696626000,-7.5018,32.56125
1696629600,-7.5215000000000005,32.519083333333334
1696633200,-7.504166666666666,32.527166666666666
1696636800,-7.501833333333334,32.494416666666666
1696640400,-7.505333333333334,32.47675
1696644000,-7.504833333333334,32.47425
1696647600,-7.515333333333333,32.473083333333335
1696651200,-7.509916666666666,32.462916666666665
1696654800,-7.50375,32.46695833333333
1696658400,-7.511944444444444,32.45948611111111
1696662000,-7.506722222222222,32.44488888888889
1696665600,-7.510833333333333,32.432249999999996
1696669200,-7.5125,32.435500000000005
1696672800,-7.509333333333333,32.445
1696676400,-7.510999999999999,32.47725
1696680000,-7.516166666666666,32.475833333333334
1696683600,-7.513999999999999,32.472833333333334
1696687200,-7.513833333333333,32.4595
1696690800,-7.5155,32.41466666666666
1696694400,-7.512333333333333,32.397166666666664
1696698000,-7.516,32.3825
1696701600,-7.518333333333333,32.37433333333333
1696705200,-7.512166666666667,32.369166666666665
1696708800,-7.518166666666667,32.36066666666667
1696712400,-7.5095,32.354
1696716000,-7.514833333333333,32.34616666666667
1696719600,-7.512333333333333,32.340833333333336
1696723200,-7.515,32.342
1696726800,-7.518833333333333,32.339000000000006
1696730400,-7.510166666666667,32.327333333333335
1696734000,-7.5104999999999995,32.3205
1696737600,-7.513833333333333,32.328
1696741200,-7.508833333333333,32.31816666666666
1696744800,-7.508666666666667,32.31433333333334
1696748400,-7.506666666666666,32.309333333333335
1696752000,-7.509166666666667,32.30916666666666
1696755600,-7.5115,32.31516666666667
1696759200,-7.509166666666667,32.298500000000004
1696762800,-7.5135,32.3015
1696766400,-7.513333333333334,32.291000000000004
1696770000,-7.5175,32.289833333333334
1696773600,-7.5175,32.282833333333336
1696777200,-7.52,32.264833333333335
1696780800,-7.513,32.258
1696784400,-7.5185,32.25216666666667
1696788000,-7.516333333333334,32.25533333333333
1696791600,-7.506666666666666,32.41133333333333
1696795200,-7.504666666666666,32.4435
1696798800,-7.5115,32.35316666666667
1696802400,-7.512166666666667,32.29983333333333
1696806000,-7.5071666666666665,32.286833333333334
1696809600,-7.5115,32.272999999999996
1696813200,-7.513833333333333,32.25683333333333
1696816800,-7.5168333333333335,32.25266666666667
1696820400,-7.514666666666667,32.236000000000004
1696824000,-7.5165,32.213499999999996
1696827600,-7.517666666666667,32.2035
1696831200,-7.521833333333333,32.1855
1696834800,-7.522833333333334,32.16266666666667
1696838400,-7.52,32.169374999999995
1696842000,-7.53325,32.15095833333333
1696845600,-7.519666666666667,32.177749999999996
1696849200,-7.516916666666666,32.173
1696852800,-7.5233333333333325,32.16116666666667
1696856400,-7.52575,32.1705
1696860000,-7.525345238095238,32.15009523809524
1696863600,-7.5139047619047625,32.13565476190476
1696867200,-7.543916666666666,32.11441666666666
1696870800,-7.486077519379845,32.127470930232555
1696874400,-7.509822480620155,32.03549573643411
1696878000,-7.5427858974358974,32.069058974358974
1696881600,-7.535230769230769,32.086807692307694
1696885200,-7.5201875000000005,32.0750625
1696888800,-7.5203125,32.07910416666667
1696892400,-7.520416666666667,32.051
1696896000,-7.530333333333333,32.028749999999995
1696899600,-7.532333333333333,32.034166666666664
1696903200,-7.529,32.00441666666667
1696906800,-7.5325,32.0175
1696910400,-7.5248333333333335,32.01616666666667
1696914000,-7.533416666666667,32.00225
1696917600,-7.523916666666667,32.02625
1696921200,-7.522166666666666,32.02941666666666
1696924800,-7.53325,32.01766666666666
1696928400,-7.525277777777777,32.035888888888884
1696932000,-7.5183888888888895,32.02440277777778
1696935600,-7.537416666666667,32.05595833333333
1696939200,-7.54325,32.08291666666666
1696942800,-7.513714285714285,32.03636904761905
1696946400,-7.532035714285714,32.030839285714286
1696950000,-7.532333333333333,32.03129166666667
1696953600,-7.525333333333333,32.02916666666667
1696957200,-7.533166666666667,32.00716666666667
1696960800,-7.522916666666666,32.01541666666667
1696964400,-7.525805555555555,32.00001851851852
1696968000,-7.512194444444445,31.987898148148147
1696971600,-7.5325,31.984388888888887
1696975200,-7.528583333333333,32.00219444444444
1696978800,-7.528416666666667,32.0135
1696982400,-7.526916666666667,32.00791666666667
1696986000,-7.528333333333333,32.00683333333333
1696989600,-7.53425,32.00416666666667
1696993200,-7.5295,32.00875
1696996800,-7.525666666666667,32.011833333333335
1697000400,-7.526083333333333,32.016083333333334
1697004000,-7.52875,32.0055
1697007600,-7.531516666666667,32.01213333333333
1697011200,-7.529733333333334,32.03211666666667
1697014800,-7.53125,32.04091666666667
1697018400,-7.5165,32.07779545454545
1697022000,-7.511958333333333,32.08628787878788
1697025600,-7.517791666666667,32.100249999999996
1697029200,-7.529098039215686,32.067632352941175
1697032800,-7.520568627450981,32.04945098039216
1697036400,-7.5253749999999995,32.08475
1697040000,-7.523875,32.07608333333334
1697043600,-7.535055555555556,32.048833333333334
1697047200,-7.526277777777778,32.02916666666667
1697050800,-7.5305,32.0315
1697054400,-7.529583333333333,32.045
1697058000,-7.525833333333334,32.03025
1697061600,-7.526,32.047666666666665
1697065200,-7.522833333333334,32.02616666666667
1697068800,-7.522,32.034166666666664
1697072400,-7.526666666666667,32.036500000000004
1697076000,-7.524583333333334,32.03225
1697079600,-7.525499999999999,32.040083333333335
1697083200,-7.524333333333333,32.03183333333333
1697086800,-7.519083333333333,32.03325
1697090400,-7.5280000000000005,32.031166666666664
1697094000,-7.5264999999999995,32.04266666666667
1697097600,-7.5248333333333335,32.05116666666667
1697101200,-7.529333333333333,32.052
1697104800,-7.5264999999999995,32.06516666666667
1697108400,-7.527333333333333,32.092999999999996
1697112000,-7.521316666666666,32.091100000000004
1697115600,-7.519183333333333,32.092483333333334
1697119200,-7.525416666666667,32.093583333333335
1697122800,-7.519833333333334,32.08075
1697126400,-7.531541666666667,32.0835625
1697130000,-7.527932692307692,32.010552884615386
1697133600,-7.543710325710325,32.019850831600834
1697137200,-7.506037537537537,31.98322822822823
1697140800,-7.521845288326301,31.978664205344582
1697144400,-7.51776582278481,32.0204746835443
1697148000,-7.532333333333333,32.08
1697151600,-7.523499999999999,32.041666666666664
1697155200,-7.5162708333333335,32.029979166666664
1697158800,-7.518729166666666,32.08081845238095
1697162400,-7.509083333333334,32.03895238095238
1697166000,-7.522333333333333,32.05375
1697169600,-7.520108974358974,32.068948717948714
1697173200,-7.503518629807692,32.008181490384615
1697176800,-7.493205729166666,32.01303645833333
1697180400,-7.527166666666667,32.032583333333335
1697184000,-7.524166666666667,32.04375
1697187600,-7.5211814194577356,32.03484250398724
1697191200,-7.502703349282297,32.001004784688995
